   Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
   11,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/11,Delegování - u delegovaného není o delegaci vidět záznam,Closed,"Záznam o delegaci by měl být vidět jak u delegujícího, tak u delegovaného, v současnosti je vidět pouze u delegujícího. Přikládám záznam.[2020-09-03_17-13-40.mkv](/uploads/ab96fedafcae617c1ab63fed9c420b3e/2020-09-03_17-13-40.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-03 17:17:43,2020-09-15 09:29:03,2020-09-15 09:29:03,,,,0,0
   12,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/12,Nefunkční dvojklik na řádku pro přidání organizační role,Open,"Kroky:   detail uživatele   záložka Organizační role   klik na tlačítko plus - přidá se řádek pro editaci/vytvoření nové organizační role   dvojklik na řádku pro editaci/vytvoření nové organizační role -->neotevře se editační okno      Přikládám záznam.[nefunkční_dvojklik.mkv](/uploads/79b6a80eedf3e7051f79f3e6b6b2d6fb/nefunkční_dvojklik.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-04 10:30:02,2020-10-30 17:09:13,,,,"Feature,In Scope,Low",0,0
   13,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/13,Přihlášení blokovaného uživatele,Closed,"Blokovaný uživatel by se neměl přihlásit, přesto se přihlásí. Přikládám záznam.[přihlášení_blokovaného.mkv](/uploads/55e277ce63702b0a9703435fefb05840/přihlášení_blokovaného.mkv)",Sklenarova Pavla,sklenarova_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-09-04 10:41:16,2020-09-22 10:36:25,2020-09-22 10:36:25,,,,0,0
   14,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/14,Přihlášení se špatnými přihlašovacími údaji - zamrzne obrazovka,Closed,"Pokud do přihlašovací obrazovky zadám chybné login nebo chybné heslo, obrazovka zamrzne. Pro úspěšné přihlášení je nutné před dalším přihlašováním vymazat cache.   Očekávané chování: po potvrzení chybných přihlašovacích údajů vyskočí chybová hláška, následně je možno se úspěšně přihlásit se správnými údaji BEZ předchozího vymazávání cache.   Přidávám záznam.[špatné_přihlašovací_heslo.mkv](/uploads/a814e6d5a4be343e71f13eb2734094cf/špatné_přihlašovací_heslo.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-04 10:46:42,2020-09-22 10:52:46,2020-09-22 10:52:46,,,,0,0
   15,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/15,Dokumentace k interpretaci JSON pro standardní reporty,Closed,"Při implementaci šablon na základě JSON pro standardní report jsme narazili na to, že nám chybí informace, jak správně interpretovat jednotlivé informace z JSONu. Bylo by možné doplnit alespoň stručnou dokumentaci a navázat data v JSON na obsah obrazovky? Zejména nám není zřejmý význam následujících položek:      * report_req_content - jak interpretovat pole, které je v příkladu hodnotou tohoto atributu - může být více reportů?   * jak interpretovat ref_place v tabulkach?   * v příkladu jsou uvedeny následující hodnoty - jsou to všechny hodnoty, které se mohou vyskytnout? Jaký je jejich význam? Co jsme zkusili odhadnout:       * master_tab - hlavní master tabulka zobrazená v první záložce v horní části stránky       * master_11 - vedlejší máster tabulka zobrazená v dalších záložkách v horní části stránky       * slave_1n - podřízená tabulka zobrazená v dolní části stránky ve formě tabulky       * TBD - tabulky M_N vazbyM ???       * další ?   * jak interpretovat strukturu linkage      Interpretace nás zajímá hlavně v souvislosti s tím, která data kam zobrazit.   Proto by bylo vhodné interpretaci popsat např. na obrazovce faktura, kde se zřejmě vyskytují všechna potenciální data pro standardní report.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-07 12:03:45,2020-10-02 09:49:08,2020-09-14 16:06:01,,,,0,0
   16,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/16,Návrh přepínače pro zapnutí/vypnutí uplatňování omezení security frameworku,Open,"Doby, než bude funkcionalita řízení přístupu pomocí security framework odladěna by se mohla hodit funkce vypínání/zapínání celého nebo některých částí sec fwk v jádře tak, aby případné chyby v nastavení nebo implementaci nebránili ostatním v práci.      Necháváme na vážení týmu jádra, zda a jak bude tato funkcionalita implementována.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-08 14:44:49,2020-10-30 17:09:13,,,,"Feature,In Scope,Medium",0,0
   17,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/17,Implementace podpory multiklíče v UI,Closed,Pro vývoj konzole sec. fwk potřebujeme alespoň základní podporu po práci (vložení/změna hodnoty) pro pole typu multiklíč.,Rasek Ludek,rasek_cgi,Rysanek Karel,rysanek_cgi,No,No,,2020-09-08 14:46:56,2020-10-09 15:04:19,2020-10-09 15:04:19,,,"High,In Review",0,0
   18,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/18,"Ověřit a zdokumentovat debug mod",Open,"Pro implementaci test engine bychom potřebovali ověřit, že v jádře existuje a je zapnut debug mod.   POdle aktuálních informací by měl být zapnutý.   Potřeboavli bycho dokumentaci, jak k uloženým debug datům přistupovat z procesů test engine.",Rasek Ludek,rasek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-08 14:48:57,2020-11-09 09:33:43,,,,"Documentation,High,In Progress",0,0
   19,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/19,Rozšířit funkci debug modu o zaznamenávání komunkace mezi BE a UI,Open,"Pro zohlednění uživatelské interakce v testech spouštěných test engine potřebujeme rozšířit zachytávané údaje také o JSON data, která putují mezi jádrem a front endem.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-08 14:50:52,2020-11-09 09:34:11,,,,"Feature,In Scope,Medium",0,0
   20,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/20,Autentizace na integračním rozhraní,Open,"Pro integraci IDM potřebujeme podle testovacích scénářů prezentovat také zabezpečení přístupu k rozhraní.      Bude jádro podporovat tento typ zabezpečení rozhraní, nebo bude nutné implementovat ho v secfwk?         V dokumentaci integrace IDM je popsáno následující přihlášení:      ### Metoda přihlášení   předpokládá existenci systémového účtu pouze pro využití IDM, čili username a zahashované heslo.      `LogOn (username(idm),heslo(6e017b5464f820a6c1bb5e9f6d711a667a80d8ea))`      jako návratová hodnota je usertoken, se kterým nadále systém pracuje. Metoda LogOn vytváří připojené vlákno až do jeho odpojení (LogOff), nebo vypršení timeout při nečinnosti. Po úspěšném přihlášení metodou LogOn je na serveru založen unikátní objekt s informací o uživateli (usertoken), který má omezenou dobu platnosti při nečinnosti. Standardní doba je 300 vteřin, může se však měnit v závislosti na konfiguraci systému, a to hodnotou SessionTimeout.      ### Metoda odhlášení   `LogOf (usertoken (y3ui9y7gtnhlvu5y9fzfzjkuf7saldwjfr3op06iw)`      Ukončuje připojené vlákno dle usertoken.            ### Metoda akce, procesu   `Procesxml(usertoken,xml)`      kde usertoken je autentizace a xml je zpráva, kde na základě jejího obsahu se vykonají určité akce.",Rasek Ludek,rasek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-08 14:59:33,2020-11-09 13:41:37,,HotFix 1.2.1,,"Documentation,In Scope,Medium",0,0
   21,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/21,json pro standardní reporty - reálný vzorek dat ze systému,Open,"na posledním jednání báze-cgi jsme se dohodli na tom, že báze dodá vygenerovaný json ze systému v dohodnuté struktuře s daty (např. z faktury)",Krikava Pavel,krikava_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-14 16:03:06,2020-11-13 12:07:03,,HotFix 1.2.1,,"Documentation,High,In Progress",0,0
   22,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/22,Binární rozhraní pro integraci C++ funkcí security frameworku do jádra,Open,"Existuje sada funkcí, které security framework poskytuje. **Navrhujeme pro tyto funkce používat přímé binární rozhraní C++ DLL.      Přikládáme ukázku (bude  [security.h](/uploads/0665294c2d8d9e9d0349d7e78cd86f7e/security.h).      Bude nutno dodržet následující omezení:   * dll musi zdielat libc s core (kvoli memory managementu a vynimkam), t.j. oba dynamicky linkuju stejnu libc knihovnu   * dll musi byt kompilovana stejnym kompilatorom ako core   * kompilator aj libc musi podporovat c++17 standard (co uz davno MSVC ma, takze ziaden problem)      Navrhujeme ciste C++ API, nakolko core aj nasa libka je v C++ a je rozumne predpokladat, ze tomu tak bude vzdy, Preto si to mozme dovolit a prinesie to ciste API. Princip fungovania: core nacte dll a zavola tpiframework::getSecurityFramework(configuration), dostane pointer na triedu tpiframework::Securityktora ma definovane prislusne funkcie.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-16 13:02:45,2020-11-09 13:53:32,,HotFix 1.2.1,,"Documentation,High,In Progress",0,0
   23,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/23,Způsob práce s heslem při přihlášení,Closed,"Jakým způsobem bude/je nakládáno s heslem uživatele při přihlášení? V aktuálním návrhu secfwk funkcí se řeší situace, kdy při přihlášení je zadané heslo zapisováno do pracovních tabulek a tam zůstává až do okamžiku čistění. Proto kanál pro přenos z hesla nemůžeme považovat za důvěrný. Pokusili jsme se nasadit jednoduché omezení, které sice chrání heslo cestou na server, ale má jiné bezpečnostní problémy.      Potřebovali bychom se podívat na proces přihlášení a jeho konkrétní zamýšlenou implementaci, abychom správně stanovili požadavky na zabezpečení dat při přenosu.      Kritické je to pro nás z toho důvodu, že nyní běží přepis knihoven do C++ a rádi bychom již měli finální verzi, kde se vyhneme všem bezpečnostním problémům.",Rasek Ludek,rasek_cgi,Rasek Ludek,rasek_cgi,No,No,,2020-09-16 13:36:04,2020-10-09 16:11:34,2020-10-09 16:11:34,,,"In Scope,Medium",0,0
   24,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/24,Nelogičnost při prokliku na cizí klíč - zobrazí se místo číselníku tabulka cizího klíče,Open,"1. v kolonce s cizím klíčem smažu původní hodnotu, dalším dvojklikem v kolonce se mi zobrazí příslušný číselník - OK   2. v kolonce s cizím klíčem rovnou dvakrát kliknu na hodnotu - místo číselníku se mi zobrazí tabulka s cizím klíčem - Chyba      Prosím o prověření a případné narovnání této nelogičnosti.   testováno na hodnotě vyloučení v detailu aplikační role (zobrazila se tabulka M_ROLE) a na poli stav v detailu uživatele (zobrazila se tabulka (R_DELEGOVANI_PODMINKA).      Přikládám záznam.[EDITACE_VYLOUČENÍ.mkv](/uploads/bc12a0a7919e1b57bd7e7d872149b217/EDITACE_VYLOUČENÍ.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-16 15:07:00,2020-10-30 17:09:13,,,,"Feature,In Scope,Low",0,0
   25,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/25,Doplnění tabulky aktiv,Open,"Prosím o doplnění chybějících údajů u tabulky aktiv (https://gitlab.cdt.cz/tpi/dokumentace/-/wikis/Security-Framework-Aktiva-prehled) a o doplnění základních scénářů pro testování, abych mohla napsat podrobný testovací scénář.   Přikládám verzi s návrhy možných základních testovacích scénářů.   [AS28_SF_Aktiva-PL-20200916.xlsx](/uploads/32157e1548873301797a8873954e688e/AS28_SF_Aktiva-PL-20200916.xlsx)   Edit:   Přikládám soubor se zvýrazněnými poli pro doplnění (oranžová barva): [AS28_SF_Aktiva-PL-20201012.xlsx](/uploads/5cdb9a06489e9f0e57c431202e2a1252/AS28_SF_Aktiva-PL-20201012.xlsx)",Sklenarova Pavla,sklenarova_cgi,Leinveberova Katarina,leinveberova_cgi,No,No,,2020-09-16 15:39:44,2020-10-30 17:08:32,,,,"Documentation,In Scope,Medium",0,0
   26,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/26,"Je možné předvyplňovat hodnoty ve vazební tabulce podle toho, odkud do té tabulky jdeme?",Closed,"Dobrý den,   pokud chci přidat např. oprávnění k aplikační roli, je potřeba vyplnit jak id oprávnění, což je logické, tak ale i id aplikační role, ke které to přiřazuji. Bylo by uživatelsky příjemnější, kdyby se v takovýchto případech předvyplnila hodnota z tabulky, z které na vazební tabulku přistupuji (v tomto případě by se předvyplnilo políčko pro id aplikační role). Je toto možné?   [2020-09-17_14-07-33.mkv](/uploads/f432f7d49174331677c234761888f4a8/2020-09-17_14-07-33.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-17 14:14:12,2020-10-26 10:09:46,2020-10-26 10:09:46,Release 1.1,,"In Review,In Scope,Medium",0,0
   27,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/27,Nefunkční mikroworkflow - nevygenerujeme náhodné heslo,Closed,"Prosím o prověření scriptu pro zobrazení tlačítka na vygenerování náhodného hesla. Spustily jsme script, tlačítko se vytvořilo, ale heslo se nevygeneruje. Očekávala bych, že se vygenerované heslo zobrazí na detailu uživatele.   Byl spuštěn script uvedený v příloze.[add_button.txt](/uploads/59f53bb5d601ff23864bb652363ea6a6/add_button.txt)",Sklenarova Pavla,sklenarova_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-09-21 14:53:45,2020-09-22 13:09:02,2020-09-22 13:09:02,,,"In Review,Medium",0,0
   28,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/28,Integrace SF do jádra,Open,"Prosím o vytvoření integrace Security Framework do jádra. Prosím o info sem, jakmile to bude připraveno k testování. Tento ticket nahrazuje původní tickety 13 a 14      https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/13   https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/14",Sklenarova Pavla,sklenarova_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-22 10:35:50,2020-11-09 14:45:09,,HotFix 1.2.1,,"Feature,In Scope,Medium",0,0
   29,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/29,Zobrazení hesla při resetu,Open,"Pro proces resetu/nastavení hesla potřebujeme mechanizmus, jak administrátorovi zobrazit heslo uživatele(předá ho pak mimo systém) a zároveň zajistit, aby se nikam nezapisoval. Tedy nějaké transient pole, které žije jen v klientovi a nikdy se nikam nezasílá.   Jak toho můžeme dnes dosáhnout?",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-23 15:50:40,2020-10-30 17:09:13,,,,"Feature,In Scope,Medium",0,0
   30,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/30,Znovu se objevila již skrytá záložka na detailu uživatele a nyní nejde skrýt,Closed,"23.9. zhruba ve dvě jsme skryli záložku m_GATTRIB_OVERLOAD_GMSG na detailu uživatele. Po páté odpolední se tato záložka opět objevila. Pokoušeli jsme se ji opět schovat, to se bohužel nepovedlo. Script byl dokončen formálně úspěšně.   Byl použit tutoriál hide tab (přiměřeně upravený ve verzi, která prve fungovala) - původní viz zde: https://gitlab.cdt.cz/tpi/dokumentace/-/wikis/uploads/a952a790324721963a60d1a77940c548/Tutorial_Hide_TAB.sql",Sklenarova Pavla,sklenarova_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-09-23 18:06:35,2020-09-24 17:05:13,2020-09-24 09:35:13,,,"In Progress,Medium",0,0
   31,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/31,Nelze přidat organizační roli k uživateli - db chyba,Closed,"Při kliku na tlačítko + v detailu uživatele na záložce R_UZIVATEL_ROLE  se objeví db chyba 1402:null. Taktéž i na záložce PERZISTENTNI_PROFIL. Záložka R_DELEGOVANI je ok.      Testováno na uživateli Karl von Bahnhof, ID 3500223      Přikládám záznam.[nelze_přidat_roli_k_uživateli.mkv](/uploads/8df031f861234bbeee78ffa8b511b271/nelze_přidat_roli_k_uživateli.mkv)",Sklenarova Pavla,sklenarova_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-24 09:51:10,2020-10-01 14:24:39,2020-10-01 14:24:39,,,"In Scope,Medium",0,0
   32,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/32,Omezení apl. rolí na kraje?,Closed,"V návrhu řešení je omezení apl. rolí jak na oprávnění, tak ale i na kraje. Platí, že apl. role má být lokálně omezena krajem, nebo to bude nahrazeno TO či TUDU?",Sklenarova Pavla,sklenarova_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-09-24 11:50:55,2020-10-09 09:11:31,2020-10-09 09:11:31,,,"In Review,Medium",0,0
   33,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/33,xml adaptér,Closed,"pro integraci s idm budou použity xml zprávy. Funkční xml adaptér byl přislíben v zářiovém release s tím, že 18/9 proběhne školení na jeho používání. Zakládám proto issue do gitlabu, adaptér nutně potřebujeme v dalším release (předpokládám, že bude 29/9) zejména pro sf.",Krikava Pavel,krikava_cgi,Krikava Pavel,krikava_cgi,No,No,,2020-09-25 10:03:35,2020-10-19 08:47:19,2020-10-19 08:47:19,,,"High,In Review",0,0
   34,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/34,makrotester,Open,"Je žádoucí, aby makrotester mel jako dalsi spousteci parametr nazev souboru s nazvem testovaneho makra, slo by zretezit testy v davce a testovat serii maker v jedne serii. Velmi by to zrychlilo testovani mWF.      napr.   `makro_tester.exe  config_dll.json test test_makro.txt`      Pakl by totiz slo napsat davku, batch:      <pre>   makro_tester.exe  config_dll.json test test_makro1.txt   makro_tester.exe  config_dll.json test test_makro2.txt   makro_tester.exe  config_dll.json test test_makro3.txt   </pre>",Rysanek Karel,rysanek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-25 18:44:42,2020-10-30 17:09:13,,,,"Feature,In Scope",0,0
   35,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/35,Nelze přidat aplikační roli k organizační roli - nerozbalí se při pokliku příslušný seznam položek,Closed,"Nelze přidat aplikační roli k organizační roli - nerozbalí se při dvojkliku příslušný seznam položek. Přikládám záznam.   [2020-09-29_10-06-22.mkv](/uploads/bbef1bd343fa567a92c71199f6dc3f5e/2020-09-29_10-06-22.mkv)",Sklenarova Pavla,sklenarova_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-09-29 10:09:30,2020-10-08 09:54:23,2020-10-08 09:54:23,Release 1,,"High,In Review",0,0
   36,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/36,Vytvoření základního Workflow s bazálním mWF,Closed,"Ani na workshopu 25.9.2020 se nám nepovedlo vytvořit pomocí tutorilálových skriptů případně editorů, základní workflow s jedním mWF, které vloží data z jedné tabulky do druhé, resp. vytvoří nový zánam v cílové tabulce. Některé procesy spouštět nikoliv na základě eventu v rozhraní, ale na pozadí resp. jako reakci na zprávu z web service - např. vytvoření uživatele na základě zprávy z IDM.      Je to základní kostra, kterou potřebujeme pro další práci.",Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-30 10:48:58,2020-10-19 09:28:49,2020-10-19 09:28:49,Release 1.1,,"High,In Progress",0,0
   37,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/37,Problem s publikaci zdrojaku do gtilabu,Closed,"Vytvorili jsme [repozitar](https://gitlab.cdt.cz/tpi/cgi/devel) pro nahrani nasich zdrojovych kodu do gitlabu. Pri pokusu o push jsme narazil na problem, kdy push resp. propagace referenci byla zamitnuta pre-receive hookem:   ```   [rasekl@localhost tpi-cgi]$ git push cdt   Enumerating objects: 1640, done.   Counting objects: 100% (1640/1640), done.   Delta compression using up to 8 threads   Compressing objects: 100% (783/783), done.   Writing objects: 100% (1640/1640), 4.37 MiB | 3.17 MiB/s, done.   Total 1640 (delta 747), reused 1628 (delta 743)   remote: Resolving deltas: 100% (747/747), done.   remote: GitLab:   remote: A default branch (e.g. master) does not yet exist for tpi/cgi/devel   remote: Ask a project Owner or Maintainer to create a default branch:   remote:   remote:   https://gitlab.cdt.cz/tpi/cgi/devel/-/project_members   remote:   To gitlab.cdt.cz:tpi/cgi/devel.git    ! [remote rejected] alt -> alt (pre-receive hook declined)   error: failed to push some refs to 'git@gitlab.cdt.cz:tpi/cgi/devel.git'   ```",Rasek Ludek,rasek_cgi,Rasek Ludek,rasek_cgi,No,No,,2020-10-01 09:25:59,2020-10-06 09:56:27,2020-10-06 09:56:27,,,In Review,0,0
   38,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/38,"MikroWF editor nezobrazuje DWBRITE a další interni mWF, které by bylo vhodné zobrazit",Closed,"'@kubala_cdt na workshopu konstatoval, že některá interní mWF by měla být v nabídce mWF editoru např. DBWRITE.![mWF-DBWRITE](/uploads/f0cbe841beb35206dc0434ea92c69dc7/mWF-DBWRITE.PNG)",Rysanek Karel,rysanek_cgi,Rysanek Karel,rysanek_cgi,No,No,,2020-10-02 12:34:49,2020-10-13 13:52:38,2020-10-13 13:52:38,,,"In Review,Medium",0,0
   39,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/39,Postup registrace DLL,Open,"Prosím o zdokumentování postupu, jak registrovat DLL na prostředí. Postup by měl obsahovat:   * postup a umístění, jak nakopírovat DLL na server(y) vývojového prostředí v CDT   * konfigurace začlenění DLL do workflow   * popis způsobu ladění DLL (kde hledat případné problémy)",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-10-05 08:56:39,2020-11-15 18:05:36,,HotFix 1.2.1,,"Documentation,High,In Scope",0,0
   40,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/40,"Service selector configurator - při ukončení beze změn se objeví hláška, která by se zobrazit neměla.",Closed,"Pokud spustím Service selector configurator a pak jej bez provedení žádných změn zavřu, zobrazí se hláška, že nemáme uložené změny. V této situaci by se hláška neměla objevovat. Přikládám záznam.   [2020-10-05_12-46-36.mkv](/uploads/fed786024de47f58610e531125da47c8/2020-10-05_12-46-36.mkv)",Sklenarova Pavla,sklenarova_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-10-05 12:53:07,2020-10-09 16:37:43,2020-10-09 16:37:43,Release 1,,"Bug,In Review,Low",0,0
